esn,event_date,event_type,current_shop_visit_count,shop_visit,engine_family,source_type,event_date_prev,event_date_next,cr_degt_bfr,cr_degt_aft,cr_degt_prev,cr_degt_next,cr_gwfm_bfr,cr_gwfm_aft,cr_gwfm_prev,cr_gwfm_next,tk_egthdm_bfr,tk_egthdm_aft,tk_egthdm_prev,tk_egthdm_next,cr_de3d1a_bfr,cr_de3d1a_aft,cr_de3d1a_prev,cr_de3d1a_next,cr_degt_rec,cr_degt_delta_prev,cr_gwfm_rec,cr_gwfm_delta_prev,tk_egthdm_rec,tk_egthdm_delta_prev,cr_de3d1a_rec,cr_de3d1a_delta_prev,flight_dttm,rdf_sedi_ecsn,rdf_sedi_ecsv,engine_type,aircraft_id,engine_position,fleet,ecsw,ecne,esn_run_no,customer,operator_name,engine_model,zone,region,country,cr_degt_init,cr_degt_delta_init,cr_degt_aft_delta_init,cr_degt_delta_next,cr_gwfm_init,cr_gwfm_delta_init,cr_gwfm_aft_delta_init,cr_gwfm_delta_next,tk_egthdm_init,tk_egthdm_delta_init,tk_egthdm_aft_delta_init,tk_egthdm_delta_next,cr_de3d1a_init,cr_de3d1a_delta_init,cr_de3d1a_aft_delta_init,cr_de3d1a_delta_next,cr_degt_adj_summation,cr_degt_adj_summation_prev,cr_degt_adj_summation_next,cr_degt_adj_summation_next_2,cr_gwfm_adj_summation,cr_gwfm_adj_summation_prev,cr_gwfm_adj_summation_next,cr_gwfm_adj_summation_next_2,tk_egthdm_adj_summation,tk_egthdm_adj_summation_prev,tk_egthdm_adj_summation_next,tk_egthdm_adj_summation_next_2,cr_de3d1a_adj_summation,cr_de3d1a_adj_summation_prev,cr_de3d1a_adj_summation_next,cr_de3d1a_adj_summation_next_2,cr_degt_delta_init_adj,cr_degt_delta_prev_adj,cr_degt_aft_delta_init_adj,cr_degt_delta_next_adj,cr_degt_aft_delta_rate_prev_adj,cr_degt_aft_delta_rate_init_adj,cr_degt_delta_rate_next_adj,cr_gwfm_delta_init_adj,cr_gwfm_delta_prev_adj,cr_gwfm_aft_delta_init_adj,cr_gwfm_delta_next_adj,cr_gwfm_aft_delta_rate_prev_adj,cr_gwfm_aft_delta_rate_init_adj,cr_gwfm_delta_rate_next_adj,tk_egthdm_delta_init_adj,tk_egthdm_delta_prev_adj,tk_egthdm_aft_delta_init_adj,tk_egthdm_delta_next_adj,tk_egthdm_aft_delta_rate_prev_adj,tk_egthdm_aft_delta_rate_init_adj,tk_egthdm_delta_rate_next_adj,cr_de3d1a_delta_init_adj,cr_de3d1a_delta_prev_adj,cr_de3d1a_aft_delta_init_adj,cr_de3d1a_delta_next_adj,cr_de3d1a_aft_delta_rate_prev_adj,cr_de3d1a_aft_delta_rate_init_adj,cr_de3d1a_delta_rate_next_adj,cr_degt_delta_rate_prev,cr_degt_delta_rate_init,cr_degt_delta_rate_next,cr_degt_rec_ratio_prev,cr_degt_rec_ratio_init,cr_gwfm_delta_rate_prev,cr_gwfm_delta_rate_init,cr_gwfm_delta_rate_next,cr_gwfm_rec_ratio_prev,cr_gwfm_rec_ratio_init,tk_egthdm_delta_rate_prev,tk_egthdm_delta_rate_init,tk_egthdm_delta_rate_next,tk_egthdm_rec_ratio_prev,tk_egthdm_rec_ratio_init,cr_de3d1a_delta_rate_prev,cr_de3d1a_delta_rate_init,cr_de3d1a_delta_rate_next,cr_de3d1a_rec_ratio_prev,cr_de3d1a_rec_ratio_init
803930,2010-03-18,INSTALL,0,True,CFM56,ENG_UTIL,NULL,2010-07-04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
803930,2010-07-04,WW,0,False,CFM56,FDM,2010-03-18,2010-09-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - AMERICA,INDONESIA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
803930,2010-09-03,WW,0,False,CFM56,FDM,2010-07-04,2010-11-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
803930,2010-11-13,WW,0,False,CFM56,FDM,2010-09-03,2011-01-04,NULL,20.3516,NULL,20.3516,NULL,1.191,NULL,1.191,NULL,77.062,NULL,76.7051,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,-0.356895,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,-0.3568954468,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
803930,2011-01-04,WW,0,False,CFM56,FDM,2010-11-13,2011-03-01,20.3516,25.1929,20.3516,24.5865,1.191,1.0523,1.191,1.2437,76.7051,73.5088,77.062,73.827,NULL,NULL,NULL,NULL,-4.8412,0,0.1387,0,3.1963,-0.356895,NULL,NULL,2011-01-04,1834,1834.4301,CFM56-7B26/3,LGU,1,LNI,NULL,367,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,NULL,NULL,NULL,-0.6064,NULL,NULL,NULL,0.1914,NULL,NULL,NULL,0.318253,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,NULL,-0.6063995361,NULL,NULL,-1.6523148124,NULL,0,NULL,0.1914000511,NULL,NULL,0.5215260248,NULL,-0.3568954468,NULL,0.3182525635,NULL,NULL,0.8671731975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1.65231,NULL,NULL,NULL,NULL,0.52153,NULL,NULL,NULL,NULL,0.86717,-8.95586,NULL,NULL,NULL,NULL,NULL,NULL
803930,2011-03-01,WW,0,False,CFM56,FDM,2011-01-04,2011-04-25,24.5865,26.3216,25.1929,25.9647,1.2437,0.97665,1.0523,1.0109,73.827,73.34,73.5088,71.256,NULL,NULL,NULL,NULL,-1.7351,-0.6064,0.26705,0.1914,0.487045,0.318253,NULL,NULL,2011-03-01,2201,2201.6533,CFM56-7B26/3,LGU,1,LNI,367,362,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,NULL,NULL,NULL,-0.35685,NULL,NULL,NULL,0.03425,NULL,NULL,NULL,-2.08401,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,-0.6063995361,NULL,-0.3568496704,-1.6523148124,NULL,-0.9857725702,NULL,0.1914000511,NULL,0.034250021,0.5215260248,NULL,0.0946133176,NULL,0.3182525635,NULL,-2.0840072632,0.8671731975,NULL,-5.7569261414,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1.65231,NULL,-0.98577,2.86131,NULL,0.52153,NULL,0.09461,1.39525,NULL,0.86717,NULL,-5.75693,1.53037,NULL,NULL,NULL,NULL,NULL,NULL
803930,2011-04-25,WW,0,False,CFM56,FDM,2011-03-01,2011-08-05,25.9647,25.3974,26.3216,26.0824,1.0109,1.15695,0.97665,1.00205,71.256,66.3141,73.34,63.132,NULL,NULL,NULL,NULL,0.567251,-0.35685,-0.14605,0.03425,4.94185,-2.08401,NULL,NULL,2011-04-25,2563,2563.205,CFM56-7B26/3,LGU,1,LNI,362,679,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,NULL,NULL,NULL,0.68495,NULL,NULL,NULL,-0.1549,NULL,NULL,NULL,-3.18215,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,-0.3568496704,NULL,0.6849498749,-0.9857725702,NULL,1.0087627023,NULL,0.034250021,NULL,-0.1548999548,0.0946133176,NULL,-0.2281295358,NULL,-2.0840072632,NULL,-3.1821479797,-5.7569261414,NULL,-4.6865213251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-0.98577,NULL,1.00876,-1.58961,NULL,0.09461,NULL,-0.22813,-4.26423,NULL,-5.75693,NULL,-4.68652,-2.37132,NULL,NULL,NULL,NULL,NULL,NULL
803930,2011-08-05,WW,0,False,CFM56,FDM,2011-04-25,2011-11-05,26.0824,28.1452,25.3974,29.7196,1.00205,1.5551,1.15695,1.3483,63.132,57.7257,66.3141,56.8385,NULL,NULL,NULL,NULL,-2.0628,0.68495,-0.55305,-0.1549,5.40625,-3.18215,NULL,NULL,2011-08-05,3242,3242.3692,CFM56-7B26/3,LGU,1,LNI,679,571,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,NULL,NULL,NULL,1.5744,NULL,NULL,NULL,-0.2068,NULL,NULL,NULL,-0.887249,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0.6849498749,NULL,1.5743999481,1.0087627023,NULL,2.7572678601,NULL,-0.1548999548,NULL,-0.206799984,-0.2281295358,NULL,-0.3621716007,NULL,-3.1821479797,NULL,-0.8872489929,-4.6865213251,NULL,-1.553851126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.00876,NULL,2.75727,-3.01161,NULL,-0.22813,NULL,-0.36217,3.57037,NULL,-4.68652,NULL,-1.55385,-1.69893,NULL,NULL,NULL,NULL,NULL,NULL
803930,2011-11-05,WW,0,False,CFM56,FDM,2011-08-05,2012-01-28,29.7196,27.4696,28.1452,31.4548,1.3483,0.94745,1.5551,0.93775,56.8385,60.4569,57.7257,59.5639,NULL,NULL,NULL,NULL,2.25,1.5744,0.40085,-0.2068,-3.6184,-0.887249,NULL,NULL,2011-11-05,3813,3813.7917,CFM56-7B26/3,LGU,1,LNI,571,541,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,NULL,NULL,NULL,3.98525,NULL,NULL,NULL,-0.0097,NULL,NULL,NULL,-0.893051,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1.5743999481,NULL,3.9852485657,2.7572678601,NULL,7.3664483654,NULL,-0.206799984,NULL,-0.0097000003,-0.3621716007,NULL,-0.0179297602,NULL,-0.8872489929,NULL,-0.8930511475,-1.553851126,NULL,-1.6507414925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.75727,NULL,7.36645,1.42912,NULL,-0.36217,NULL,-0.01793,-1.93835,NULL,-1.55385,NULL,-1.65074,4.07822,NULL,NULL,NULL,NULL,NULL,NULL
803930,2012-01-28,WW,0,False,CFM56,FDM,2011-11-05,2012-04-30,31.4548,30.3351,27.4696,28.788,0.93775,0.67805,0.94745,0.82715,59.5639,59.5073,60.4569,61.58,NULL,NULL,NULL,NULL,1.1197,3.98525,0.2597,-0.0097,0.0565987,-0.893051,NULL,NULL,2012-01-28,4354,4354.5843,CFM56-7B26/3,LGU,1,LNI,541,606,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,NULL,NULL,NULL,-1.5471,NULL,NULL,NULL,0.1491,NULL,NULL,NULL,2.07275,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3.9852485657,NULL,-1.5471000671,7.3664483654,NULL,-2.5529704078,NULL,-0.0097000003,NULL,0.1491000056,-0.0179297602,NULL,0.2460396132,NULL,-0.8930511475,NULL,2.0727500916,-1.6507414925,NULL,3.420379689,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.36645,NULL,-2.55297,0.28096,NULL,-0.01793,NULL,0.24604,-26.7732,NULL,-1.65074,NULL,3.42038,-0.06338,NULL,NULL,NULL,NULL,NULL,NULL
