"region","customer","operator_name","tail_id","position","esn","engine_type","esn_run_no","category_count","date","flight_dttm","closest_diff_days","date_next","flight_dttm_next","start_date","sedi_ecsn","sedi_ecsn_prev","sedi_ecsv","tk_egthdm","tk_egthdm_prev","tk_egthdm_next","cr_gwfm","cr_gwfm_prev","cr_gwfm_next","cr_degt","cr_degt_prev","cr_degt_next","egtm_det","gwfm_det","degt_det","shift_cause","shift_cause_flag","egtm_det_adj","egtm_rec","gwfm_det_adj","gwfm_rec","degt_rec","egtm_recovery_ratio","gwfm_recovery_ratio","egtm_det_rec_diff","ecsw","flight_counts","egtm_dirty_det_rate","coverage_pct","Post_Removal_Flag","Rating_Flag","wash_data_gap","wash_data_gap2","quality_check1","quality_check_all","install_date","removal_date","aircraft_type","aircraft_model","engine_model","flight_counter","flight_counter_prev","flight_counter_install","washflag","data_type","adj_shift","cumu_shift_egtm","adj_shift_gwfm","cumu_shift_gwfm","counter","sv_count","category","npts","effectiveness_egtm","tk_egthdm_bfr","cr_gwfm_bfr","tk_egthdm_aft","cr_gwfm_aft","tk_egthdm_psv","cr_gwfm_psv","egm_det_bfr_psv","egm_det_aft_psv","gwfm_det_bfr_psv","gwfm_det_aft_psv","type","wash_type","engine_status"
"ASIA","LNI","LION MENTARI AIRLINES","LGU",1,803930,"CFM56-7B26/3","RUN_1","WW_1",2010-07-04 00:00:00,2010-07-03 12:52:32,-0.46,2010-07-04,2010-07-04 00:10:40,2010-03-31 12:28:50,650,10,650,71.9,85.9,72,2.011,1.471,2.088,30.9,20.5,28.5,14,-0.54,-10.4,"WW",0,14,0.0999999999999943,-0.54,0.077,-2.4,0.007,-0.143,13.9,640,643,21.9,100.46875,"NO","NO",0.01,0.46,"valid","valid",2010-03-18,2018-04-28 23:59:59,"B737-900","B737","CFM56-7",644,1,644,"wash_before","averaged_40",14,0,-0.54,0,1,0,"WW",40,"ineffective",71.9,2.011,72,2.088,85.9,1.471,14,13.9,0.54,0.617,"Historical","WATER WASH",
"ASIA","LNI","LION MENTARI AIRLINES","LGU",1,803930,"CFM56-7B26/3","RUN_1","WW_2",2010-09-03 00:00:00,2010-09-02 23:29:24,-0.02,2010-09-03,2010-09-03 02:19:26,2010-07-03 12:52:32,1028,650,1028,68.4,72,82.6,2.031,2.088,1.77,28,28.5,22.7,3.59999999999999,0.0569999999999999,0.5,"WW",0,3.59999999999999,14.2,0.0569999999999999,-0.261,-5.3,3.944,-4.579,-10.6,378,371,9.5,98.1481481481482,"NO","NO",0.1,0.02,"valid","valid",2010-03-18,2018-04-28 23:59:59,"B737-900","B737","CFM56-7",1015,644,1015,"wash_before","averaged_40",3.59999999999999,0,0.0569999999999999,0,2,0,"WW",40,"effective",68.4,2.031,82.6,1.77,85.9,1.471,17.5,3.30000000000001,0.56,0.299,"Historical","WATER WASH",
"ASIA","LNI","LION MENTARI AIRLINES","LGU",1,803930,"CFM56-7B26/3","RUN_1","WW_3",2010-11-13 00:00:00,2010-11-08 13:14:54,-4.45,2010-11-13,2010-11-14 09:20:55,2010-09-02 23:29:24,1464,1028,1464,72.7,82.6,80.9,1.614,1.77,1.211,26.8,22.7,24.1,9.89999999999999,0.156,-4.1,"WW",0,9.89999999999999,8.2,0.156,-0.403,-2.7,0.828,-2.583,1.7,436,431,22.7,98.8532110091743,"NO","NO",1.39,4.45,"valid","valid",2010-03-18,2018-04-28 23:59:59,"B737-900","B737","CFM56-7",1446,1015,1446,"wash_before","averaged_40",9.89999999999999,0,0.156,0,3,0,"WW",40,"effective",72.7,1.614,80.9,1.211,85.9,1.471,13.2,5,0.143,-0.26,"Historical","WATER WASH",
"ASIA","LNI","LION MENTARI AIRLINES","LGU",1,803930,"CFM56-7B26/3","RUN_1","WW_4",2011-01-04 00:00:00,2011-01-03 23:20:55,-0.03,2011-01-04,2011-01-04 01:04:36,2010-11-08 13:14:54,1834,1464,1834,77.7,80.9,75.3,1.199,1.211,1.099,20.1,24.1,24,3.2,0.012,4,"WW",0,3.2,-2.40000000000001,0.012,-0.1,3.9,-0.75,-8.333,5.6,370,320,8.6,86.4864864864865,"NO","NO",0.04,0.03,"valid","valid",2010-03-18,2018-04-28 23:59:59,"B737-900","B737","CFM56-7",1766,1446,1766,"wash_before","averaged_40",3.2,0,0.012,0,4,0,"WW",40,"ineffective",77.7,1.199,75.3,1.099,85.9,1.471,8.2,10.6,-0.272,-0.372,"Historical","WATER WASH",
"ASIA","LNI","LION MENTARI AIRLINES","LGU",1,803930,"CFM56-7B26/3","RUN_1","WW_5",2011-03-01 00:00:00,2011-02-28 13:26:21,-0.44,2011-03-01,2011-03-01 00:10:14,2011-01-03 23:20:55,2198,1834,2198,67.3,75.3,73.5,1.194,1.099,0.953,25.3,24,23.9,8,-0.095,-1.3,"WW",0,8,6.2,-0.095,-0.241,-1.4,0.775,2.537,1.8,364,323,22,88.7362637362637,"NO","NO",0.01,0.44,"valid","valid",2010-03-18,2018-04-28 23:59:59,"B737-900","B737","CFM56-7",2089,1766,2089,"wash_before","averaged_40",8,0,-0.095,0,5,0,"WW",40,"effective",67.3,1.194,73.5,0.953,85.9,1.471,18.6,12.4,-0.277,-0.518,"Historical","WATER WASH",
"ASIA","LNI","LION MENTARI AIRLINES","LGU",1,803930,"CFM56-7B26/3","RUN_1","WW_6",2011-04-25 00:00:00,2011-04-24 11:57:43,-0.5,2011-04-25,2011-04-25 00:12:47,2011-02-28 13:26:21,2559,2198,2559,71.3,73.5,71.1,1.008,0.953,0.83,24.1,23.9,22.7,2.2,-0.055,-0.200000000000003,"WW",0,2.2,-0.200000000000003,-0.055,-0.178,-1.4,-0.091,3.236,2.4,361,356,6.1,98.6149584487535,"NO","NO",0.01,0.5,"valid","valid",2010-03-18,2018-04-28 23:59:59,"B737-900","B737","CFM56-7",2445,2089,2445,"wash_before","averaged_40",2.2,0,-0.055,0,6,0,"WW",40,"ineffective",71.3,1.008,71.1,0.83,85.9,1.471,14.6,14.8,-0.463,-0.641,"Historical","WATER WASH",
"ASIA","LNI","LION MENTARI AIRLINES","LGU",1,803930,"CFM56-7B26/3","RUN_1","WW_7",2011-08-05 00:00:00,2011-08-04 23:35:57,-0.02,2011-08-05,2011-08-05 01:00:02,2011-04-24 11:57:43,3239,2559,3239,49.5,71.1,56.2,1.278,0.83,1.671,29.7,22.7,33.5,21.6,-0.448,-7,"WW",0,21.6,6.7,-0.448,0.393,3.8,0.31,-0.877,14.9,680,653,31.8,96.0294117647059,"NO","NO",0.04,0.02,"valid","valid",2010-03-18,2018-04-28 23:59:59,"B737-900","B737","CFM56-7",3098,2445,3098,"wash_before","averaged_40",21.6,0,-0.448,0,7,0,"WW",40,"ineffective",49.5,1.278,56.2,1.671,85.9,1.471,36.4,29.7,-0.193,0.2,"Historical","WATER WASH",
"ASIA","LNI","LION MENTARI AIRLINES","LGU",1,803930,"CFM56-7B26/3","RUN_1","WW_8",2011-11-05 00:00:00,2011-11-04 14:42:17,-0.39,2011-11-05,2011-11-05 00:20:07,2011-08-04 23:35:57,3808,3239,3808,45.7,56.2,57.7,1.426,1.671,1.165,33.6,33.5,33.2,10.5,0.245,-0.100000000000001,"WW",0,10.5,12,0.245,-0.261,-0.399999999999999,1.143,-1.065,-1.5,569,454,18.5,79.7891036906854,"NO","NO",0.01,0.39,"valid","valid",2010-03-18,2018-04-28 23:59:59,"B737-900","B737","CFM56-7",3552,3098,3552,"wash_before","averaged_40",10.5,0,0.245,0,8,0,"WW",40,"effective",45.7,1.426,57.7,1.165,85.9,1.471,40.2,28.2,-0.0450000000000002,-0.306,"Historical","WATER WASH",
"ASIA","LNI","LION MENTARI AIRLINES","LGU",1,803930,"CFM56-7B26/3","RUN_1","WW_9",2012-01-28 00:00:00,2012-01-27 22:34:42,-0.06,2012-01-28,2012-01-28 00:21:52,2011-11-04 14:42:17,4352,3808,4352,56.5,57.7,64.7,0.822,1.165,0.729,29.3,33.2,30.2,1.2,0.343,3.9,"WW",0,1.2,8.2,0.343,-0.093,0.899999999999999,6.833,-0.271,-7,544,496,2.2,91.1764705882353,"NO","NO",0.02,0.06,"valid","valid",2010-03-18,2018-04-28 23:59:59,"B737-900","B737","CFM56-7",4048,3552,4048,"wash_before","averaged_40",1.2,0,0.343,0,9,0,"WW",40,"effective",56.5,0.822,64.7,0.729,85.9,1.471,29.4,21.2,-0.649,-0.742,"Historical","WATER WASH",
"ASIA","LNI","LION MENTARI AIRLINES","LGU",1,803930,"CFM56-7B26/3","RUN_1","WW_10",2012-04-30 00:00:00,2012-04-29 15:27:00,-0.36,2012-04-30,2012-04-30 00:45:00,2012-01-27 22:34:42,4956,4352,4956,65,64.7,70,0.519,0.729,0.233,28.4,30.2,26.9,-0.299999999999997,0.21,1.8,"WW",0,-0.299999999999997,5,0.21,-0.286,-1.5,-16.667,-1.362,-5.3,604,521,-0.5,86.2582781456954,"NO","NO",0.03,0.36,"valid","valid",2010-03-18,2018-04-28 23:59:59,"B737-900","B737","CFM56-7",4569,4048,4569,"wash_before","averaged_40",-0.299999999999997,0,0.21,0,10,0,"WW",40,"ineffective",65,0.519,70,0.233,85.9,1.471,20.9,15.9,-0.952,-1.238,"Historical","WATER WASH",
