,esn,wash_date,wash_type,source_type,engine_family
0,706486,2012-11-04,WW,RDO,CF6
1,706486,2016-08-11,WW,RDO,CF6
2,706486,2017-01-12,WW,RDO,CF6
3,706486,2017-04-29,WW,RDO,CF6
4,706486,2017-11-22,WW,RDO,CF6
5,731487,2011-08-26,WW,RDO,CFM56
6,645238,2012-12-15,WW,RDO,CFM56
7,660506,2015-07-31,WW,RDO,CFM56
8,862459,2016-09-04,WW,RDO,CFM56
9,873030,2012-11-08,WW,RDO,CF34
10,706719,2010-04-13,WW,RDO,CF6
11,706784,2011-03-21,WW,RDO,CF6
12,706929,2010-07-01,WW,RDO,CF6
13,706970,2010-11-29,WW,RDO,CF6
14,706970,2017-09-10,WW,RDO,CF6
15,706970,2018-01-22,WW,RDO,CF6
16,896261,2010-12-21,WW,RDO,CFM56
17,896261,2011-08-20,WW,RDO,CFM56
18,896261,2012-03-30,WW,RDO,CFM56
19,896261,2012-10-23,WW,RDO,CFM56
20,896261,2013-05-26,WW,RDO,CFM56
21,896261,2014-01-12,WW,RDO,CFM56
22,896261,2014-07-18,WW,RDO,CFM56
23,862326,2016-06-08,WW,RDO,CFM56
24,862326,2016-09-21,WW,RDO,CFM56
25,862953,2016-10-18,WW,RDO,CFM56
26,862953,2017-02-27,WW,RDO,CFM56
27,862953,2017-06-05,WW,RDO,CFM56
28,862953,2018-04-15,WW,RDO,CFM56
29,873035,2011-11-26,WW,RDO,CF34
30,888441,2012-04-27,WW,RDO,CFM56
31,661162,2016-06-09,WW,RDO,CFM56
32,661162,2016-10-03,WW,RDO,CFM56
33,707151,2016-04-20,WW,RDO,CF6
34,707151,2016-09-10,WW,RDO,CF6
35,707151,2017-02-01,WW,RDO,CF6
36,707151,2017-07-09,WW,RDO,CF6
37,702670,2013-07-14,WW,RDO,CF6
38,960158,2012-02-05,WW,RDO,CFM56
39,960158,2012-08-07,WW,RDO,CFM56
40,960158,2013-02-14,WW,RDO,CFM56
41,960158,2013-08-23,WW,RDO,CFM56
42,960158,2014-02-25,WW,RDO,CFM56
43,960158,2014-08-28,WW,RDO,CFM56
44,960158,2016-07-03,WW,RDO,CFM56
45,960158,2016-10-25,WW,RDO,CFM56
46,892897,2013-02-02,WW,RDO,CFM56
47,731486,2015-12-17,WW,RDO,CFM56
48,731486,2016-08-11,WW,RDO,CFM56
49,731486,2017-10-25,WW,RDO,CFM56
50,963167,2013-03-24,WW,RDO,CFM56
51,963167,2013-10-03,WW,RDO,CFM56
52,963167,2014-04-17,WW,RDO,CFM56
53,963167,2014-10-29,WW,RDO,CFM56
54,963167,2016-06-01,WW,RDO,CFM56
55,963167,2016-10-11,WW,RDO,CFM56
56,785588,2010-10-27,WW,RDO,CT7
57,785588,2010-12-26,WW,RDO,CT7
58,785588,2011-09-20,WW,RDO,CT7
59,785588,2012-04-05,WW,RDO,CT7
60,785588,2014-07-26,WW,RDO,CT7
61,785588,2014-09-13,WW,RDO,CT7
62,785588,2014-10-07,WW,RDO,CT7
63,785588,2014-11-10,WW,RDO,CT7
64,785588,2014-12-10,WW,RDO,CT7
65,785588,2015-08-06,WW,RDO,CT7
66,785588,2015-09-20,WW,RDO,CT7
67,858417,2011-03-15,WW,RDO,CFM56
68,858417,2016-01-14,WW,RDO,CFM56
69,858417,2016-08-10,WW,RDO,CFM56
70,858417,2016-12-03,WW,RDO,CFM56
71,858417,2017-06-04,WW,RDO,CFM56
72,862644,2016-06-23,WW,RDO,CFM56
73,862644,2016-09-28,WW,RDO,CFM56
74,862644,2017-02-26,WW,RDO,CFM56
75,862644,2017-08-27,WW,RDO,CFM56
76,862644,2018-04-08,WW,RDO,CFM56
77,857703,2010-12-12,WW,RDO,CFM56
78,857703,2015-12-16,WW,RDO,CFM56
79,857703,2016-06-07,WW,RDO,CFM56
80,857703,2017-04-01,WW,RDO,CFM56
81,857703,2017-07-04,WW,RDO,CFM56
82,857703,2018-02-17,WW,RDO,CFM56
83,862582,2016-07-27,WW,FDM,CFM56
84,894239,2011-03-20,WW,RDO,CFM56
85,906271,2016-11-05,WW,RDO,GE90
86,906271,2017-05-07,WW,RDO,GE90
87,906271,2017-09-10,WW,RDO,GE90
88,906375,2015-12-16,WW,RDO,GE90
89,906375,2017-02-16,WW,RDO,GE90
90,994716,2011-05-20,WW,RDO,CF34
91,569232,2014-08-29,WW,FDM,CFM56
92,569232,2015-04-11,WW,RDO,CFM56
93,569232,2015-08-06,WW,RDO,CFM56
94,569232,2016-05-26,WW,RDO,CFM56
95,573858,2017-06-24,WW,RDO,CFM56
96,573858,2018-05-05,WW,RDO,CFM56
97,697389,2014-09-22,WW,RDO,CFM56
98,697838,2009-10-15,WW,RDO,CFM56
99,697838,2010-01-24,WW,FDM,CFM56
100,697838,2010-04-29,WW,FDM,CFM56
101,697838,2010-07-30,WW,FDM,CFM56
102,697838,2011-02-13,WW,FDM,CFM56
103,697838,2011-05-17,WW,FDM,CFM56
104,707116,2017-09-03,WW,RDO,CF6
105,707116,2018-04-28,WW,RDO,CF6
106,802676,2010-09-22,WW,RDO,CFM56
107,872833,2012-11-08,WW,RDO,CF34
108,873005,2012-11-02,WW,RDO,CF34
109,892919,2016-09-10,WW,RDO,CFM56
110,892919,2017-04-22,WW,RDO,CFM56
111,892919,2017-12-04,WW,RDO,CFM56
112,697785,2015-03-09,WW,RDO,CFM56
113,704629,2010-09-01,WW,RDO,CF6
