,esn,event_date,region_sample,customer_sample,operator_name_sample,engine_position_sample,engine_type_sample,esn_run_no_sample,flight_dttm_sample,event_date_next_sample,rdf_sedi_ecsn_sample,rdf_sedi_ecsv_sample,tk_egthdm_init_sample,tk_egthdm_prev_sample,tk_egthdm_next_sample,cr_gwfm_init_sample,cr_gwfm_prev_sample,cr_gwfm_next_sample,cr_degt_init_sample,cr_degt_prev_sample,cr_degt_next_sample,cr_degt_rec_sample,ecsw_sample,engine_family_sample,current_shop_visit_count_sample,tk_egthdm_bfr_sample,cr_gwfm_bfr_sample,tk_egthdm_aft_sample,cr_gwfm_aft_sample,region_aurora,customer_aurora,operator_name_aurora,engine_position_aurora,engine_type_aurora,esn_run_no_aurora,flight_dttm_aurora,event_date_next_aurora,rdf_sedi_ecsn_aurora,rdf_sedi_ecsv_aurora,tk_egthdm_init_aurora,tk_egthdm_prev_aurora,tk_egthdm_next_aurora,cr_gwfm_init_aurora,cr_gwfm_prev_aurora,cr_gwfm_next_aurora,cr_degt_init_aurora,cr_degt_prev_aurora,cr_degt_next_aurora,cr_degt_rec_aurora,ecsw_aurora,engine_family_aurora,current_shop_visit_count_aurora,tk_egthdm_bfr_aurora,cr_gwfm_bfr_aurora,tk_egthdm_aft_aurora,cr_gwfm_aft_aurora
0,803930,2010-07-04,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,RUN_1,2010-07-03,2010-07-04,650,650,71.9,85.9,72,2.011,1.471,2.088,30.9,20.5,28.5,-2.4,640,CFM56-7,0,71.9,2.011,72,2.088,CSO - AMERICA,LNI,LION MENTARI AIRLINES,NULL,NULL,1,NULL,2010-09-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CFM56,0,NULL,NULL,NULL,NULL
1,803930,2010-09-03,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,RUN_1,2010-09-02,2010-09-03,1028,1028,68.4,72,82.6,2.031,2.088,1.77,28,28.5,22.7,-5.3,378,CFM56-7,0,68.4,2.031,82.6,1.77,ASIA,LNI,LION MENTARI AIRLINES,NULL,NULL,1,NULL,2010-11-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CFM56,0,NULL,NULL,NULL,NULL
2,803930,2010-11-13,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,RUN_1,2010-11-08,2010-11-13,1464,1464,72.7,82.6,80.9,1.614,1.77,1.211,26.8,22.7,24.1,-2.7,436,CFM56-7,0,72.7,1.614,80.9,1.211,ASIA,LNI,LION MENTARI AIRLINES,NULL,NULL,1,NULL,2011-01-04,NULL,NULL,NULL,NULL,76.7051,NULL,NULL,1.191,NULL,NULL,20.3516,NULL,NULL,CFM56,0,NULL,NULL,77.062,1.191
3,803930,2011-01-04,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,RUN_1,2011-01-03,2011-01-04,1834,1834,77.7,80.9,75.3,1.199,1.211,1.099,20.1,24.1,24,3.9,370,CFM56-7,0,77.7,1.199,75.3,1.099,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,1,2011-01-04,2011-03-01,1834,1834.4301,NULL,77.062,73.827,NULL,1.191,1.2437,NULL,20.3516,24.5865,-4.8412,NULL,CFM56,0,76.7051,1.191,73.5088,1.0523
4,803930,2011-03-01,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,RUN_1,2011-02-28,2011-03-01,2198,2198,67.3,75.3,73.5,1.194,1.099,0.953,25.3,24,23.9,-1.4,364,CFM56-7,0,67.3,1.194,73.5,0.953,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,1,2011-03-01,2011-04-25,2201,2201.6533,NULL,73.5088,71.256,NULL,1.0523,1.0109,NULL,25.1929,25.9647,-1.7351,367,CFM56,0,73.827,1.2437,73.34,0.97665
5,803930,2011-04-25,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,RUN_1,2011-04-24,2011-04-25,2559,2559,71.3,73.5,71.1,1.008,0.953,0.83,24.1,23.9,22.7,-1.4,361,CFM56-7,0,71.3,1.008,71.1,0.83,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,1,2011-04-25,2011-08-05,2563,2563.205,NULL,73.34,63.132,NULL,0.97665,1.00205,NULL,26.3216,26.0824,0.567251,362,CFM56,0,71.256,1.0109,66.3141,1.15695
6,803930,2011-08-05,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,RUN_1,2011-08-04,2011-08-05,3239,3239,49.5,71.1,56.2,1.278,0.83,1.671,29.7,22.7,33.5,3.8,680,CFM56-7,0,49.5,1.278,56.2,1.671,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,1,2011-08-05,2011-11-05,3242,3242.3692,NULL,66.3141,56.8385,NULL,1.15695,1.3483,NULL,25.3974,29.7196,-2.0628,679,CFM56,0,63.132,1.00205,57.7257,1.5551
7,803930,2011-11-05,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,RUN_1,2011-11-04,2011-11-05,3808,3808,45.7,56.2,57.7,1.426,1.671,1.165,33.6,33.5,33.2,-0.399999999999999,569,CFM56-7,0,45.7,1.426,57.7,1.165,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,1,2011-11-05,2012-01-28,3813,3813.7917,NULL,57.7257,59.5639,NULL,1.5551,0.93775,NULL,28.1452,31.4548,2.25,571,CFM56,0,56.8385,1.3483,60.4569,0.94745
8,803930,2012-01-28,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,RUN_1,2012-01-27,2012-01-28,4352,4352,56.5,57.7,64.7,0.822,1.165,0.729,29.3,33.2,30.2,0.899999999999999,544,CFM56-7,0,56.5,0.822,64.7,0.729,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,1,2012-01-28,2012-04-30,4354,4354.5843,NULL,60.4569,61.58,NULL,0.94745,0.82715,NULL,27.4696,28.788,1.1197,541,CFM56,0,59.5639,0.93775,59.5073,0.67805
9,803930,2012-04-30,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,RUN_1,2012-04-29,2012-04-30,4956,4956,65,64.7,70,0.519,0.729,0.233,28.4,30.2,26.9,-1.5,604,CFM56-7,0,65,0.519,70,0.233,ASIA,LNI,LION MENTARI AIRLINES,1,CFM56-7B26/3,1,2012-04-30,2012-07-15,4960,4960.1245,NULL,59.5073,64.463,NULL,0.67805,0.7321,NULL,30.3351,28.5525,-0.0889492,606,CFM56,0,61.58,0.82715,61.9902,0.72025
