,esn,wash_date_gp,wash_type,source_type_gp,engine_family_gp
0,875192,2020-08-26,WW,RDO,CFM56
1,902896,2020-08-22,WW,RDO,CF34
2,958385,2020-06-23,WW,FDM,GENX
3,963386,2020-05-12,WW,FDM,CFM56
4,424647,2020-08-20,WW,FDM,CF34
5,707101,2020-06-30,WW,FDM,CF6
6,956534,2020-08-08,WW,FDM,GENX
7,660507,2020-07-16,WW,FDM,CFM56
8,804418,2020-07-19,WW,FDM,CFM56
9,963875,2020-08-14,WW,FDM,CFM56
10,994224,2020-08-27,WW,FDM,CF34
11,194529,2020-08-24,WW,RDO,CF34-8C
12,864450,2020-08-24,WW,RDO,CFM56
13,599086,2020-08-09,WW,FDM,LEAP
14,658753,2020-03-07,WW,FDM,CFM56
15,890887,2020-02-29,WW,FDM,CFM56
16,960587,2020-03-30,WW,FDM,CFM56
17,994731,2020-08-21,WW,RDO,CF34
18,599248,2020-07-11,WW,FDM,LEAP
19,802680,2020-08-31,WW,RDO,CFM56-7B
20,599066,2020-08-12,WW,FDM,LEAP
21,864827,2020-07-26,WW,FDM,CFM56
22,896212,2020-08-22,WW,RDO,CFM56
23,902871,2020-08-24,WW,RDO,CF34
24,573166,2020-08-06,WW,FDM,CFM56
25,658252,2020-08-31,WW,RDO,CFM56-7B
26,598711,2020-08-27,WW,FDM,LEAP
27,729943,2020-08-26,WW,FDM,CFM56
28,864817,2020-08-30,WW,RDO,CFM56
29,894438,2020-08-21,WW,RDO,CFM56
30,193604,2020-06-10,WW,FDM,CF34
31,598168,2020-08-28,WW,FDM,LEAP
32,660186,2020-07-26,WW,FDM,CFM56
33,802647,2020-06-29,WW,FDM,CFM56
34,854231,2020-07-14,WW,FDM,CFM56
35,962141,2020-03-11,WW,FDM,CFM56
36,994398,2020-08-26,WW,FDM,CF34
37,193603,2020-06-10,WW,FDM,CF34
38,658158,2020-06-15,WW,FDM,CFM56
39,697832,2020-08-21,WW,FDM,CFM56
40,965448,2020-08-17,WW,RDO,CF34
41,573289,2020-09-01,WW,RDO,CFM56
42,658149,2020-08-28,WW,RDO,CFM56-7B
43,727435,2020-03-25,WW,RDO,CFM56
44,962309,2020-03-26,WW,FDM,CFM56
45,598402,2020-08-11,WW,FDM,LEAP
46,902560,2020-08-25,WW,RDO,CF34
47,960198,2020-08-24,WW,RDO,CFM56
48,960849,2020-06-23,WW,FDM,CFM56
49,962948,2020-07-08,WW,FDM,CFM56
50,804429,2020-08-27,WW,RDO,CFM56-7B
51,958238,2020-07-20,WW,FDM,GENX
52,958409,2020-07-27,WW,FDM,GENX
53,962558,2020-08-30,WW,RDO,CFM56
54,598272,2020-08-20,WW,FDM,LEAP
55,695456,2020-08-20,WW,RDO,CF6
56,804377,2020-08-25,WW,RDO,CFM56-7B
57,958238,2020-01-29,WW,FDM,GENX
58,994409,2020-08-21,WW,FDM,CF34
59,598965,2020-08-14,WW,RDO,LEAP
60,874184,2020-08-26,WW,RDO,CFM56
61,959440,2020-08-25,WW,RDO,GENX
62,960285,2020-08-06,WW,FDM,CFM56
63,657968,2020-04-18,WW,FDM,CFM56
64,699981,2020-07-16,WW,FDM,CFM56
