,esn,wash_date,wash_type,source_type,engine_family
0,802741,2014-04-28,WW,RDO,CFM56
1,811551,2015-03-08,WW,RDO,CF6
2,658127,2017-07-17,WW,RDO,CFM56
3,660544,2016-12-23,WW,RDO,CFM56
4,906272,2014-09-05,WW,RDO,GE90
5,785562,2010-10-25,WW,RDO,CT7
6,785420,2011-02-14,WW,RDO,CT7
7,892184,2012-01-30,WW,RDO,CFM56
8,906375,2015-12-15,WW,RDO,GE90
9,802982,2012-07-14,WW,RDO,CFM56
10,706951,2016-07-25,WW,RDO,CF6
11,785793,2014-11-16,WW,RDO,CT7
12,888858,2013-09-16,WW,RDO,CFM56
13,874602,2014-05-07,WW,RDO,CFM56
14,965467,2011-05-12,WW,RDO,CF34
15,658127,2018-04-11,WW,RDO,CFM56
16,660865,2016-08-14,WW,RDO,CFM56
17,577810,2010-07-10,WW,RDO,CFM56
18,785494,2011-01-08,WW,RDO,CT7
19,741659,2010-12-26,WW,RDO,CFM56
20,874304,2013-05-12,WW,RDO,CFM56
21,706924,2016-10-21,WW,RDO,CF6
22,785458,2011-06-10,WW,RDO,CT7
23,785416,2014-10-24,WW,RDO,CT7
24,577810,2011-04-24,WW,RDO,CFM56
25,960341,2020-03-23,WW,FDM,CFM56
26,860227,2011-03-15,WW,RDO,CFM56
27,741659,2011-04-27,WW,RDO,CFM56
28,896797,2014-10-23,WW,RDO,CFM56
29,804942,2014-10-13,WW,RDO,CFM56
30,785425,2007-06-05,WW,RDO,CT7
31,702463,2014-02-10,WW,RDO,CF6
32,906803,2016-11-18,WW,RDO,GE90
33,804519,2015-05-19,WW,RDO,CFM56
34,661251,2015-08-30,WW,RDO,CFM56
35,857738,2017-12-09,WW,RDO,CFM56
36,706794,2018-04-21,WW,RDO,CF6
37,804902,2014-08-22,WW,RDO,CFM56
38,858136,2013-02-24,WW,RDO,CFM56
39,874184,2013-09-16,WW,RDO,CFM56
40,785382,2015-06-26,WW,RDO,CT7
41,731779,2011-03-20,WW,RDO,CFM56
42,697601,2015-02-11,WW,RDO,CFM56
43,873291,2012-01-26,WW,RDO,CF34
44,706473,2017-06-15,WW,RDO,CF6
45,962138,2013-04-16,WW,RDO,CFM56
46,661746,2016-08-14,WW,RDO,CFM56
47,785562,2014-09-29,WW,RDO,CT7
48,858402,2017-07-02,WW,RDO,CFM56
49,858905,2011-02-22,WW,RDO,CFM56
50,893698,2011-12-10,WW,RDO,CFM56
51,785595,2015-04-09,WW,RDO,CT7
52,785456,2010-12-19,WW,RDO,CT7
53,706645,2010-10-06,WW,RDO,CF6
54,811130,2007-09-16,WW,RDO,CF6
55,731778,2012-10-31,WW,RDO,CFM56
56,965467,2011-02-17,WW,RDO,CF34
57,785588,2014-07-25,WW,RDO,CT7
58,874292,2016-05-19,WW,RDO,CFM56
59,697503,2011-08-16,WW,RDO,CFM56
60,873030,2012-11-07,WW,RDO,CF34
61,695151,2010-12-26,WW,RDO,CF6
62,785563,2010-12-30,WW,RDO,CT7
63,697818,2011-04-18,WW,RDO,CFM56
64,863201,2016-06-07,WW,RDO,CFM56
65,704151,2011-03-18,WW,RDO,CF6
66,785578,2011-08-28,WW,RDO,CT7
67,893698,2014-01-25,WW,RDO,CFM56
68,963875,2020-08-14,WW,FDM,CFM56
69,785763,2014-11-08,WW,RDO,CT7
70,875348,2011-10-12,WW,RDO,CFM56
71,704627,2010-11-18,WW,RDO,CF6
72,897697,2012-10-10,WW,RDO,CFM56
73,802982,2014-09-22,WW,RDO,CFM56
74,890405,2011-03-05,WW,RDO,CFM56
75,804408,2013-06-21,WW,RDO,CFM56-7B
76,785588,2014-10-06,WW,RDO,CT7
77,965472,2013-11-21,WW,RDO,CF34
78,906654,2012-09-06,WW,RDO,GE90
79,894121,2011-10-07,WW,RDO,CFM56
80,785562,2010-12-30,WW,RDO,CT7
81,193327,2011-06-28,WW,RDO,CF34
82,704830,2015-09-12,WW,RDO,CF6
83,785655,2014-09-03,WW,RDO,CT7
84,706475,2014-04-01,WW,RDO,CF6
85,890771,2012-03-25,WW,RDO,CFM56
86,874611,2014-05-07,WW,RDO,CFM56
87,704612,2016-10-21,WW,RDO,CF6
88,704283,2011-02-03,WW,RDO,CF6
89,575285,2013-04-03,WW,RDO,CFM56
90,858538,2013-02-08,WW,RDO,CFM56
91,658400,2016-07-18,WW,RDO,CFM56
92,779341,2011-07-20,WW,RDO,CFM56
93,906407,2016-10-28,WW,RDO,GE90
94,802784,2012-10-08,WW,RDO,CFM56
95,858220,2012-07-28,WW,RDO,CFM56
96,703183,2010-10-15,WW,RDO,CF6
97,704181,2016-10-06,WW,RDO,CF6
98,892499,2014-04-04,WW,RDO,CFM56
99,858346,2010-05-10,WW,RDO,CFM56
100,575249,2014-02-25,WW,RDO,CFM56
